qid	engine	mode	code	ms	maskHits	rfCust	rfAddr	rfDate	errcode	changed
q32	core	mask	0	3486	0	0	0	0		1
q33	core	mask	0	3481	0	0	0	0		1
q34	core	mask	0	3123	2	0	0	0		1
q35	core	mask	0	3836	0	0	0	0		1
q36	core	mask	0	3602	0	0	0	0		1
q37	core	mask	0	3355	0	0	0	0		1
q38	core	mask	0	3994	0	0	0	0		1
q39	core	mask	0	3753	0	0	0	0		1
q40	core	mask	0	3530	0	0	0	0		1
q41	core	mask	0	3805	0	0	0	0		1
q42	core	mask	0	3222	0	0	0	0		1
q43	core	mask	0	4077	0	0	0	0		1
q44	core	mask	0	3437	0	0	0	0		1
q45	core	mask	0	3324	0	0	0	0		1
q46	core	mask	0	4414	2	0	0	0		1
q47	core	mask	0	3740	0	0	0	0		1
q48	core	mask	0	3219	0	0	3	0		1
q49	core	mask	0	3950	0	0	0	0		1
q50	core	mask	0	4024	0	0	0	0		1
q51	core	mask	0	3529	0	0	0	0		1
q52	core	mask	0	3953	0	0	0	0		1
q53	core	mask	0	3741	0	0	0	0		1
q54	core	mask	0	4143	0	0	0	0		1
q55	core	mask	0	3670	0	0	0	0		1
q56	core	mask	0	3403	0	0	0	0		1
q57	core	mask	0	3513	0	0	0	0		1
q58	core	mask	0	3570	0	0	0	0		1
q59	core	mask	0	3923	0	0	0	0		1
q60	core	mask	0	3426	0	0	0	0		1
q61	core	mask	0	3626	0	0	0	0		1
q62	core	mask	0	3369	0	0	0	0		1
q63	core	mask	0	3797	0	0	0	0		1
q64	core	mask	0	3620	2	0	0	0		1
q65	core	mask	0	3328	0	0	0	0		1
q66	core	mask	0	4333	0	0	0	0		1
q67	core	mask	0	3886	0	0	0	0		1
q68	core	mask	0	3465	2	0	0	0		1
q69	core	mask	0	3531	0	0	0	0		1
q70	core	mask	0	3777	0	0	0	0		1
q71	core	mask	0	3830	0	0	0	0		1
q72	core	mask	1	2371	0	0	0	0	VALIDATION_ERROR	-1
q73	core	mask	0	3445	2	0	0	0		1
q74	core	mask	0	3957	3	0	0	0		1
q75	core	mask	0	3781	0	0	0	0		1
q76	core	mask	0	3805	0	0	0	0		1
q77	core	mask	0	3870	0	0	0	0		1
q78	core	mask	0	3884	0	0	0	0		1
q79	core	mask	0	3319	2	0	0	0		1
q80	core	mask	1	3495	0	0	0	0	VALIDATION_ERROR	-1
q81	core	mask	0	3705	4	0	0	0		1
q82	core	mask	0	3964	0	0	0	0		1
q83	core	mask	0	3496	0	0	0	0		1
q84	core	mask	0	3675	2	0	0	0		1
q85	core	mask	0	3251	0	0	3	0		1
q86	core	mask	0	3473	0	0	0	0		1
q87	core	mask	0	3708	0	0	0	0		1
q88	core	mask	0	3675	0	0	0	0		1
q89	core	mask	0	3957	0	0	0	0		1
q90	core	mask	0	3528	0	0	0	0		1
q91	core	mask	0	3755	0	0	0	0		1
q92	core	mask	0	3466	0	0	0	0		1
q93	core	mask	0	3593	0	0	0	0		1
q94	core	mask	0	3383	0	0	0	0		1
q95	core	mask	0	3467	0	0	0	0		1
q96	core	mask	0	3318	0	0	0	0		1
q97	core	mask	0	3497	0	0	0	0		1
q98	core	mask	0	3465	0	0	0	0		1
q99	core	mask	0	4366	0	0	0	0		1
q01	core	rowfilter	0	4867	0	1	0	1		1
q02	core	rowfilter	0	5592	0	0	0	3		1
q03	core	rowfilter	0	3386	0	0	0	1		1
q04	core	rowfilter	0	5166	0	3	0	3		1
